"","x"
"508","DRAXIN"
"509","DRD2"
"510","DRD3"
"511","DROSHA"
"512","DSCAM"
"513","DSPP"
"514","DTX1"
"515","DUOXA1"
"516","DUSP10"
"517","DUSP15"
"518","DUSP6"
"519","DUSP9"
"520","DVL1P1"
"521","E2F1"
"522","E2F2"
"523","EAF2"
"524","ECM1"
"525","ECSCR"
"526","ECT2"
"527","EDN1"
"528","EDN3"
"529","EDNRB"
"530","EEF1E1"
"531","EEF2K"
"532","EFEMP1"
"533","EFEMP2"
"534","EFNA1"
"535","EFNA3"
"536","EFNA5"
"537","EFNB2"
"538","EFNB3"
"539","EGF"
"540","EGFR"
"541","EGLN1"
"542","EGR2"
"543","EGR3"
"544","EHD1"
"545","EHD2"
"546","EHMT1"
"547","EID2B"
"548","EIF2AK2"
"549","EIF2AK3"
"550","EIF2AK4"
"551","EIF4E"
"552","EIF4ENIF1"
"553","EIF4G1"
"554","EIF6"
"555","ELAPOR2"
"556","ELAVL4"
"557","ELL3"
"558","EMC10"
"559","EMILIN1"
"560","emilin2_human"
"561","EMP2"
"562","ENAM"
"563","ENG"
"564","ENPP1"
"565","ENPP2"
"566","EP300"
"567","EPB41"
"568","EPB41L3"
"569","EPB42"
"570","EPHA1"
"571","EPHA2"
"572","EPHA3"
"573","EPHA4"
"574","EPHA7"
"575","EPHB1"
"576","EPHB2"
"577","EPHB3"
"578","EPN2"
"579","EPO"
"580","EPPK1"
"581","EPS8"
"582","ERAP1"
"583","ERBB2"
"584","ERBB4"
"585","EREG"
"586","ERMN"
"587","ERRFI1"
"588","ESR1"
"589","ESRP1"
"590","ESRRA"
"591","ESRRB"
"592","ETS1"
"593","ETV2"
"594","ETV4"
"595","ETV5"
"596","EURL"
"597","EVI2B"
"598","EXOSC3"
"599","EXOSC6"
"600","EYA1"
"601","EZH2"
"602","EZR"
"603","F11R"
"604","F2"
"605","F3"
"606","FADD"
"607","FADS1"
"608","FAIM"
"609","FAM171A1"
"610","FAM210B"
"611","FANCA"
"612","FASLG"
"613","FAXDC2"
"614","FBLIM1"
"615","FBLN1"
"616","FBN1"
"617","FBN2"
"618","FBXO22"
"619","FBXO31"
"620","FBXO5"
"621","FBXO7"
"622","FBXW7"
"623","FBXW8"
"624","FCGR2B"
"625","FCRL3"
"626","FERD3L"
"627","FERMT1"
"628","FERMT2"
"629","FES"
"630","FEZ1"
"631","FEZF1"
"632","FEZF2"
"633","FFAR4"
"634","FGA"
"635","FGB"
"636","FGD1"
"637","FGD2"
"638","FGD3"
"639","FGD4"
"640","FGD5"
"641","FGD6"
"642","FGF1"
"643","FGF10"
"644","FGF13"
"645","FGF16"
"646","FGF18"
"647","FGF2"
"648","FGF20"
"649","FGF23"
"650","FGF3"
"651","FGF7"
"652","FGF8"
"653","FGF9"
"654","FGFR1"
"655","FGFR2"
"656","FGFR3"
"657","FGG"
"658","FGL2"
"659","FGR"
"660","FIG4"
"661","FITM2"
"662","FKBP1B"
"663","FKBPL"
"664","FLNA"
"665","FLOT1"
"666","FLRT2"
"667","FLRT3"
"668","FLT1"
"669","FLT4"
"670","FLVCR1"
"671","FMNL1"
"672","FMNL2"
"673","FMNL3"
"674","FMR1"
"675","FN1"
"676","FNDC5"
"677","FNIP1"
"678","FOS"
"679","FOXA1"
"680","FOXA2"
"681","FOXC1"
"682","FOXC2"
"683","FOXD1"
"684","FOXE3"
"685","FOXG1"
"686","FOXJ1"
"687","FOXM1"
"688","FOXN1"
"689","FOXO1"
"690","FOXO3"
"691","FOXO4"
"692","FOXO6"
"693","FOXP1"
"694","FOXP3"
"695","FOXS1"
"696","FRS2"
"697","FRZB"
"698","FSHB"
"699","FST"
"700","FSTL3"
"701","FSTL4"
"702","FTO"
"703","FUT1"
"704","FUZ"
"705","FXN"
"706","FYN"
"707","FZD1"
"708","FZD2"
"709","FZD3"
"710","FZD4"
"711","FZD5"
"712","FZD6"
"713","FZD7"
"714","FZD9"
"715","G6PD"
"716","GAB1"
"717","GABPA"
"718","GADD45A"
"719","GAL"
"720","GAMT"
"721","GAS2"
"722","GAS6"
"723","GATA1"
"724","GATA2"
"725","GATA3"
"726","GATA4"
"727","GATA5"
"728","GATA6"
"729","GBP1"
"730","GBX1"
"731","GBX2"
"732","GCM1"
"733","GCNT2"
"734","GDF10"
"735","GDF15"
"736","GDF2"
"737","GDF3"
"738","GDF5"
"739","GDF6"
"740","GDF7"
"741","GDF9"
"742","GDNF"
"743","GDPD2"
"744","GFAP"
"745","GFI1B"
"746","GH1"
"747","GHR"
"748","GHRH"
"749","GHRHR"
"750","GHRL"
"751","GHSR"
"752","GJA1"
"753","GJC2"
"754","GLI1"
"755","GLI2"
"756","GLI3"
"757","GLIPR2"
"758","GLUL"
"759","GNA11"
"760","GNB3"
"761","GNRH1"
"762","GORASP1"
"763","GP1BA"
"764","GPAM"
"765","GPC1"
"766","GPC3"
"767","GPC4"
"768","GPC6"
"769","GPER1"
"770","GPM6B"
"771","GPNMB"
"772","GPR137"
"773","GPR137B"
"774","GPR171"
"775","GPR21"
"776","GPR37L1"
"777","GPR4"
"778","GPR55"
"779","GPR68"
"780","GPRC5B"
"781","GPS2"
"782","GREM1"
"783","GRHL1"
"784","GRHL2"
"785","GRHL3"
"786","GRID2"
"787","GRIN3A"
"788","GRIP1"
"789","GSK3B"
"790","GSX2"
"791","GTF2I"
"792","H1-8"
"793","H3-3A"
"794","H3BNH8"
"795","H3C1"
"796","H3C13"
"797","H4-16"
"798","HAMP"
"799","HAND2"
"800","HAP1"
"801","HAS2"
"802","HCK"
"803","HCLS1"
"804","HDAC1"
"805","HDAC2"
"806","HDAC3"
"807","HDAC4"
"808","HDAC5"
"809","HDAC6"
"810","HDAC7"
"811","HDAC9"
"812","HECW1"
"813","HECW2"
"814","HELT"
"815","HEMGN"
"816","HES1"
"817","HES2"
"818","HES3"
"819","HES5"
"820","HES6"
"821","HES7"
"822","HESX1"
"823","HEXB"
"824","HEY1"
"825","HEY2"
"826","HEYL"
"827","HGF"
"828","HHEX"
"829","HIF1A"
"830","HIF1AN"
"831","HIPK2"
"832","HK2"
"833","HLA-DOA"
"834","HLA-DRA"
"835","HLA-DRB1"
"836","HLA-G"
"837","HLX"
"838","HMG20A"
"839","HMG20B"
"840","HMGA1"
"841","HMGA2"
"842","HMGCR"
"843","HMGN1"
"844","HMOX1"
"845","HNF4A"
"846","HOOK3"
"847","HOPX"
"848","HOXA11"
"849","HOXA2"
"850","HOXA5"
"851","HOXA7"
"852","HOXA9"
"853","HOXB3"
"854","HOXB4"
"855","HOXB7"
"856","HOXB8"
"857","HOXD13"
"858","HOXD3"
"859","HPN"
"860","HPSE"
"861","hpse_human-1"
"862","HRG"
"863","HSF4"
"864","HSPA1A"
"865","HSPA1B"
"866","HSPB1"
"867","HSPB6"
"868","HSPG2"
"869","HTATIP2"
"870","HTR2A"
"871","HTR2C"
"872","HTRA2"
"873","HYAL1"
"874","HYAL3"
"875","IAPP"
"876","ICAM1"
"877","ID1"
"878","ID2"
"879","ID3"
"880","IDH2"
"881","IFITM1"
"882","IFITM5"
"883","IFNA2"
"884","IFNB1"
"885","IFNG"
"886","IFNL1"
"887","IGF1"
"888","IGF2"
"889","IGFBP3"
"890","IGFBP5"
"891","IHH"
"892","IKBKB"
"893","IKZF3"
"894","IL10"
"895","IL12B"
"896","IL12RB1"
"897","IL13"
"898","IL15"
"899","IL15RA"
"900","IL17A"
"901","IL17D"
"902","IL17F"
"903","IL17RD"
"904","IL18"
"905","IL1A"
"906","IL1B"
"907","IL1RAP"
"908","IL1RAPL1"
"909","IL1RL2"
"910","IL2"
"911","IL20"
"912","IL23A"
"913","IL23R"
"914","IL27"
"915","IL2RA"
"916","IL34"
"917","IL36B"
"918","IL4"
"919","IL4I1"
"920","IL4R"
"921","IL5"
"922","IL6"
"923","IL6R"
"924","IL6ST"
"925","IL7"
"926","IL7R"
"927","ILK"
"928","IMPACT"
"929","INF2"
"930","ING2"
"931","INHA"
"932","INHBA"
"933","INPP5D"
"934","INPP5F"
"935","INS"
"936","INSIG1"
"937","INSM1"
"938","INSR"
"939","IQGAP1"
"940","IQGAP3"
"941","IRF1"
"942","IRF4"
"943","IRF7"
"944","IRX3"
"945","ISG15"
"946","ISL1"
"947","ISL2"
"948","ISLR2"
"949","ISM1"
"950","IST1"
"951","ITGA2B"
"952","ITGA5"
"953","ITGA7"
"954","ITGAV"
"955","ITGAX"
"956","ITGB1"
"957","ITGB1BP1"
"958","ITGB2"
"959","ITGB3"
"960","ITGB8"
"961","ITPKA"
"962","ITPKB"
"963","ITSN1"
"964","ITSN2"
"965","JAG1"
"966","JAK2"
"967","JAK3"
"968","JAM2"
"969","JARID2"
"970","JCAD"
"971","JDP2"
"972","JHY"
"973","JMJD8"
"974","JPH2"
"975","JUN"
"976","JUNB"
"977","JUND"
"978","JUP"
"979","KANK1"
"980","KAT2A"
"981","KAT2B"
"982","KAT7"
"983","KCNK2"
"984","KCTD11"
"985","KDF1"
"986","KDM2B"
"987","KDM3A"
"988","KDM4A"
"989","KDM4C"
"990","KDM5B"
"991","KDR"
"992","KEL"
"993","KHDC3L"
"994","KIAA0319"
"995","KIF13B"
"996","KIF14"
"997","KIF1A"
"998","KIR2DL4"
"999","KIT"
"1000","KITLG"
"1001","KL"
"1002","KLF10"
"1003","KLF13"
"1004","KLF2"
"1005","KLF4"
"1006","KLF5"
"1007","KLF7"
"1008","KLHL41"
"1009","KLK3"
"1010","KLK6"
"1011","KLK8"
"1012","KMT2A"
"1013","KMT2B"
"1014","KMT2C"
"1015","KMT2D"
"1016","KMT2E"
"1017","KMT5B"
"1018","KMT5C"
