"","x"
"663","CDH6"
"664","CDH7"
"665","CDH8"
"666","CDH9"
"667","CDHR1"
"668","CDHR3"
"669","CDIN1"
"670","CDK1"
"671","CDK13"
"672","CDK16"
"673","CDK2"
"674","CDK20"
"675","CDK5"
"676","CDK5R1"
"677","CDK5R2"
"678","CDK5RAP1"
"679","CDK5RAP2"
"680","CDK5RAP3"
"681","CDK6"
"682","CDKL1"
"683","CDKL3"
"684","CDKL5"
"685","CDKN1A"
"686","CDKN2B"
"687","CDKN2C"
"688","CDNF"
"689","CDO1"
"690","CDON"
"691","CDSN"
"692","CDX1"
"693","CDX2"
"694","CDX4"
"695","CEACAM1"
"696","CEBPA"
"697","CEBPB"
"698","CEBPE"
"699","CEBPG"
"700","CECR2"
"701","CEL"
"702","CELA1"
"703","CELA2A"
"704","CELF4"
"705","CELSR1"
"706","CELSR2"
"707","CELSR3"
"708","CEMIP2"
"709","CEMP1"
"710","CEND1"
"711","CENPE"
"712","CENPF"
"713","CENPU"
"714","CEP120"
"715","CEP131"
"716","CEP290"
"717","CEP55"
"718","CEP85L"
"719","CER1"
"720","CERS3"
"721","CERT1"
"722","CFAP20"
"723","CFAP43"
"724","CFAP53"
"725","CFC1"
"726","CFC1B"
"727","CFL2"
"728","CFLAR"
"729","CGA"
"730","CGAS"
"731","CHAC1"
"732","CHAD"
"733","CHADL"
"734","CHD5"
"735","CHD7"
"736","CHD8"
"737","CHEK1"
"738","CHERP"
"739","CHI3L1"
"740","CHL1"
"741","CHMP4C"
"742","CHN1"
"743","CHODL"
"744","CHRD"
"745","CHRDL1"
"746","CHRDL2"
"747","CHRM1"
"748","CHRM2"
"749","CHRM3"
"750","CHRNA1"
"751","CHRNA10"
"752","CHRNA3"
"753","CHRNA7"
"754","CHRNA9"
"755","CHRNB2"
"756","CHRND"
"757","CHST11"
"758","CHST2"
"759","CHST8"
"760","CHSY1"
"761","CHURC1"
"762","CIAO3"
"763","CIAPIN1"
"764","CILK1"
"765","CIR1"
"766","CISD2"
"767","CIT"
"768","CITED1"
"769","CITED2"
"770","CKB"
"771","CLASP1"
