"","x"
"581","CSN3"
"582","CSRNP1"
"583","CSRP3"
"584","CSTA"
"585","CTC1"
"586","CTF1"
"587","CTHRC1"
"588","CTLA4"
"589","CTNNA1"
"590","CTNNA2"
"591","CTNNBIP1"
"592","CTNND1"
"593","CTNS"
"594","CTR9"
"595","CTSH"
"596","CTSK"
"597","CTSL"
"598","CTSV"
"599","CTTNBP2"
"600","CUL4A"
"601","CUL7"
"602","CX3CR1"
"603","CXADR"
"604","CXCL10"
"605","CXCL12"
"606","CXCL8"
"607","CXCR2"
"608","CXCR4"
"609","CXCR5"
"610","CYP19A1"
"611","CYP1A1"
"612","CYP1A2"
"613","CYP1B1"
"614","CYP26A1"
"615","CYP26B1"
"616","CYP26C1"
"617","CYP27B1"
"618","CYP4A11"
"619","CYP4A22"
"620","CYP7B1"
"621","CYTL1"
"622","DAAM2"
"623","DAB1"
"624","DAB2IP"
"625","DACT2"
"626","DAND5"
"627","DAW1"
"628","DAZAP1"
"629","DBP"
"630","DBX1"
"631","DCAF1"
"632","DCANP1"
"633","DCC"
"634","DCHS1"
"635","DCHS2"
"636","DCLK1"
"637","DCLK2"
"638","DCLRE1C"
"639","DCN"
"640","DCSTAMP"
"641","DCT"
"642","DCTN1"
"643","DCTN5"
"644","DCX"
"645","DDIT4"
"646","DDR1"
"647","DDR2"
"648","DDX39B"
"649","DDX5"
"650","DEDD"
"651","DGAT2"
"652","DGCR2"
"653","DGCR6"
"654","DHCR24"
"655","DHH"
"656","DHODH"
"657","DHRS2"
"658","DHRS3"
"659","DHTKD1"
"660","DHX37"
"661","DIEXF"
"662","DIO3"
"663","DIPK2A"
"664","DISC1"
"665","DISP1"
"666","DIXDC1"
"667","DKK3"
"668","DLC1"
"669","DLG1"
"670","DLG5"
"671","DLL1"
"672","DLL3"
"673","DLL4"
"674","DLX1"
"675","DLX2"
"676","DLX3"
"677","DLX5"
"678","DLX6"
"679","DMBX1"
"680","DMC1"
"681","DMD"
"682","DMP1"
"683","DMRT1"
"684","DMRT3"
"685","DMRTA1"
"686","DMRTA2"
"687","DMTN"
"688","DNAAF1"
"689","DNAAF4"
"690","DNAH11"
"691","DNAH5"
"692","DNAI1"
"693","DNAI4"
"694","DNAJB1"
"695","DNAJC19"
"696","DNAJC30"
"697","DNASE1L2"
"698","DNER"
"699","DOCK10"
"700","DOCK11"
"701","DOCK2"
"702","DOCK7"
"703","DPCD"
"704","DPPA4"
"705","DPYSL2"
"706","DRAXIN"
"707","DRC1"
"708","DRD1"
"709","DRD2"
"710","DRGX"
"711","DROSHA"
"712","DSC1"
"713","DSC2"
"714","DSC3"
"715","DSCAM"
"716","DSCAML1"
"717","DSG1"
"718","DSG2"
"719","DSG3"
"720","DSG4"
"721","DSP"
"722","DSPP"
"723","DTX1"
"724","DUSP10"
"725","DVL1P1"
"726","DYM"
"727","DYNC2H1"
"728","DYNC2I1"
"729","DYRK1B"
"730","DYRK3"
"731","E2F1"
"732","E2F7"
"733","E2F8"
"734","EBF2"
"735","ECE1"
"736","ECM1"
"737","EDA"
"738","EDAR"
"739","EDN1"
"740","EDN2"
"741","EDN3"
"742","EDNRA"
"743","EDNRB"
"744","EED"
"745","EEF1AKMT4-ECE2"
"746","EFEMP1"
"747","EFEMP2"
"748","EFHC1"
"749","EFNA1"
"750","EFNA2"
"751","EFNB1"
"752","EGF"
"753","EGFLAM"
"754","EGFR"
"755","EGR1"
"756","EGR2"
"757","EGR3"
"758","EID2B"
"759","EIF2AK3"
"760","EIF2B2"
"761","EIF2B4"
"762","EIF2B5"
"763","EIF4E"
"764","EIF4EBP1"
"765","EIF6"
"766","ELAVL4"
"767","ELF3"
"768","ELN"
"769","EMILIN1"
"770","EML1"
"771","EMX1"
"772","EMX2"
"773","EN1"
"774","EN2"
"775","ENAM"
"776","ENG"
"777","ENPEP"
"778","ENPP1"
"779","ENTPD7"
"780","EOMES"
"781","EP300"
"782","EPAS1"
"783","EPB41L5"
"784","EPB42"
"785","EPCAM"
"786","EPHA2"
"787","EPHA4"
"788","EPHA5"
"789","EPHA7"
"790","EPHB1"
"791","EPHB2"
"792","EPHB3"
"793","EPHB4"
"794","EPO"
"795","EPOR"
"796","EPYC"
"797","ERBB2"
"798","ERBB3"
"799","ERBB4"
"800","ERCC1"
"801","ERCC2"
"802","ERCC3"
"803","EREG"
"804","ERO1A"
"805","ERRFI1"
"806","ESCO2"
"807","ESR1"
"808","ESRP2"
"809","ESRRA"
"810","ESRRB"
"811","ETNK2"
"812","ETS1"
"813","ETV1"
"814","ETV2"
"815","ETV6"
"816","ETV7"
"817","EURL"
"818","EVC"
